commercial_id,unit_type,city,location,area_sqft,price_pkr,floor_number,frontage_ft,footfall_rating,suitable_for,monthly_maintenance_pkr,purpose,agency,date_added
1,Shop,Islamabad,Blue Area,1200,27628800,1,15.0,High,Salon,35000,For Rent,Bay Realtors,2026-01-10
2,Office,Lahore,DHA Phase 5,250,8347500,1,,High,"Salon, Warehouse, Office",8000,For Sale,Capital Commercial Co,2026-01-15
3,Plaza Floor,Islamabad,Bahria Town,1200,24112800,1,20.0,Low,Office,5000,For Sale,Capital Commercial Co,2026-05-11
4,Shop,Islamabad,Bahria Town,2500,43955000,4,20.0,High,"Pharmacy, Clinic, Warehouse",8000,For Sale,Zameen Prime Realty,2026-04-19
5,Shop,Lahore,DHA Phase 5,2500,60270000,3,20.0,Low,"Clinic, F&B",12000,For Sale,Zameen Prime Realty,2026-03-27
6,Office,Islamabad,F-7 Markaz,4000,109732000,2,,High,"Warehouse, F&B, Clinic",5000,For Rent,Zameen Prime Realty,2026-06-22
7,Office,Karachi,Clifton,1800,39540600,3,,Medium,"Office, F&B, Clinic",8000,For Rent,Capital Commercial Co,2026-07-28
8,Office,Karachi,Gulshan-e-Iqbal,600,19017600,3,,Low,Pharmacy,5000,For Rent,Metro Estates,2026-07-12
9,Warehouse,Karachi,Saddar,1200,10238400,0,,Low,"Salon, Retail, Warehouse",12000,For Sale,Capital Commercial Co,2026-02-19
10,Warehouse,Karachi,DHA Phase 6,250,1539250,0,,High,Warehouse,5000,For Sale,Capital Commercial Co,2026-04-14
11,Shop,Karachi,DHA Phase 6,1800,55818000,0,12.0,Medium,"F&B, Retail",8000,For Sale,Zameen Prime Realty,2026-02-25
130,Shop,Faisalabad,D Ground,450,6500000,1,18.0,High,"Retail, Pharmacy, Salon",6000,For Rent,City Commercial Hub,2026-08-01
131,Office,Faisalabad,People's Colony,900,12500000,2,,Medium,"Office, Clinic, Studio",7000,For Sale,City Commercial Hub,2026-08-05
132,Shop,Faisalabad,Madina Town,700,9800000,0,16.0,High,"Retail, F&B",6500,For Sale,Metro Estates,2026-08-10
12,Office,Lahore,Bahria Town,600,21970800,3,,High,Clinic,35000,For Sale,Bay Realtors,2026-04-27
13,Plaza Floor,Islamabad,F-7 Markaz,2500,92522500,2,25.0,High,"Retail, F&B",8000,For Rent,Zameen Prime Realty,2026-04-28
14,Shop,Lahore,Gulberg,250,5625250,0,12.0,Medium,Warehouse,8000,For Rent,Bay Realtors,2026-04-27
15,Warehouse,Lahore,Bahria Town,900,7086600,0,,Medium,Retail,5000,For Sale,Capital Commercial Co,2026-07-23
16,Shop,Karachi,Clifton,250,7048250,2,12.0,Low,F&B,35000,For Sale,Bay Realtors,2026-03-18
17,Shop,Karachi,DHA Phase 6,4000,165908000,4,12.0,Low,"Warehouse, Retail, Salon",8000,For Rent,Bay Realtors,2026-08-16
18,Office,Karachi,Clifton,2500,37675000,3,,Medium,"Clinic, Office",35000,For Sale,Bay Realtors,2026-03-16
19,Shop,Karachi,DHA Phase 6,250,9877250,2,12.0,Low,"Office, Warehouse, Salon",8000,For Rent,Zameen Prime Realty,2026-03-12
20,Office,Islamabad,Blue Area,2500,47320000,4,,Low,"Warehouse, Retail, Pharmacy",5000,For Sale,Capital Commercial Co,2026-05-16
21,Office,Islamabad,G-9 Markaz,1200,33562800,1,,High,"Clinic, Office, Pharmacy",5000,For Rent,Zameen Prime Realty,2026-02-27
22,Plaza Floor,Lahore,Bahria Town,600,15861600,0,15.0,Medium,"F&B, Office",35000,For Sale,Zameen Prime Realty,2026-05-13
23,Shop,Lahore,Johar Town,400,15730800,4,15.0,Medium,"Warehouse, F&B",12000,For Rent,Capital Commercial Co,2026-08-18
24,Warehouse,Lahore,Gulberg,1200,5233200,0,,Low,"Pharmacy, F&B",12000,For Rent,Bay Realtors,2026-07-27
25,Shop,Lahore,Gulberg,600,19726200,0,20.0,High,"F&B, Office, Pharmacy",5000,For Sale,Zameen Prime Realty,2026-06-16
26,Shop,Islamabad,F-7 Markaz,1800,73011600,4,25.0,High,"F&B, Pharmacy, Salon",8000,For Sale,Zameen Prime Realty,2026-03-20
27,Plaza Floor,Karachi,DHA Phase 6,600,24480000,0,25.0,Low,"F&B, Pharmacy",20000,For Sale,Metro Estates,2026-04-10
28,Warehouse,Islamabad,F-7 Markaz,1800,11307600,0,,Low,"Clinic, Salon",35000,For Sale,Capital Commercial Co,2026-01-13
29,Plaza Floor,Karachi,DHA Phase 6,250,4638000,4,25.0,Medium,"Pharmacy, Clinic, Office",35000,For Sale,Zameen Prime Realty,2026-07-28
30,Shop,Lahore,Johar Town,2500,37637500,4,30.0,High,"Salon, Pharmacy, F&B",12000,For Sale,Capital Commercial Co,2026-06-13
31,Plaza Floor,Islamabad,G-9 Markaz,2500,64220000,3,20.0,High,F&B,20000,For Sale,Bay Realtors,2026-03-28
32,Shop,Karachi,Saddar,1200,29281200,1,25.0,High,"Salon, Clinic, Office",20000,For Sale,Metro Estates,2026-08-15
33,Plaza Floor,Islamabad,Blue Area,1800,32508000,1,20.0,Low,F&B,5000,For Rent,Bay Realtors,2026-02-24
34,Office,Karachi,Bahadurabad,2500,77997500,3,,Low,Salon,5000,For Sale,Zameen Prime Realty,2026-07-17
35,Warehouse,Lahore,Bahria Town,250,2141500,0,,Low,Office,8000,For Sale,Capital Commercial Co,2026-08-26
36,Warehouse,Karachi,Bahadurabad,600,4732800,0,,Medium,"Pharmacy, F&B",12000,For Sale,Bay Realtors,2026-04-18
